debemos
*deber	deber,deberes
patrimonio	patrimonial,patrimonio
importancia	importa,importancia,importando,importante,importar
ejercicio	ejercicio
trato	trata,tratado,tratados,tratan,trato,tratos
procesos	proceso,procesos
plebiscito	plebiscito,plebiscitos
mayorías	mayor,mayores,mayoría,mayorías
condición	condicionada,condiciones,condición
asegurar	asegura,asegurada,asegurado,aseguran,asegurando,asegurar,asegurarse,asegure
recursos	recursos
futuro	futuras,futuro,futuros
función	funciona,funcional,funcionales,funcionamiento,funcionarios,funcionen,funciones,función
digna	digna,dignas,digno
cuales	cuales,cuáles
mismos	misma,mismas,mismo,mismos
integración	integra,integración,integrada,integral,integralmente,integran,integrante,integrantes,integrarnos,integridad
seguridad	seguridad,seguro,seguros
relación	relaciona,relacionado,relacionamos,relacionarnos,relacionarse,relaciones,relación
partidos	parte,partidos,partir
obligaciones	obligaciones,obligación,obligados
individual	individual,individuales,individualismo,individualista,individualistas,individuo,individuos
existen	exista,existan,existe,existen,existiendo,existir
discriminación	discrimina,discriminaciones,discriminación,discriminada,discriminadoras,discriminados,discriminar,discrimine
basarse	basa,basada,basado,basarse,base,bases
vinculación	vinculación,vinculada,vinculado,vinculados,vinculante,vinculantes,vínculo,vínculos
sólo	sola,solamente,solo,sólo
normas	norma,normar,normas
internacionales	internacional,internacionales
establecer	establece,establecer,establecerse,estableciendo,establecimiento
econonmía	economía,economías,económica,económicas,económico,económicos
diferencias	diferencias,diferente,diferentes
descentralización	descentraliza,descentralización,descentralizar
constituyente	constituyente,constituyentes
universal	universal,universales,universalidad,universalizar,universidades
soberanía	soberano,soberanía
representación	representa,representación,representadas,representados,representan,representantes,representar,representativa,representativas,representativo,represente,representen,representándolas
promover	promovemos,promover,promoverlos,promovido,promoviendo
parlamentarios	parlamentaria,parlamentario,parlamentarios,parlamento,parlamentos
niveles	nivel,nivelar,niveles
diversidad	diversas,diversidad,diversidades,diverso,diversos
declaración	declaraciones,declaración,declarando,declare
consultivos	consulta,consultas,consultiva,consultivos
totalidad	total,totalidad
nuevas	nueva,nuevas,nuevo
institución	institucional,institucionalidad,institución
grupos	grupo,grupos
defensores	defensor,defensores,defensoría
solidaridad	solidaridad
respectivas	respectivas,respectivos,respecto
propiedad	propia,propiamente,propias,propiedad,propio,propios
efectivos	efectiva,efectivo,efectivos,efecto,efectos
velarse	velando,velar,velarse,vele
mecanismos	mecanismo,mecanismos
legitimidad	legitimado,legitimar,legitimidad,legítima,legítimamente,legítimas,legítimo
congreso	congreso
colectivas	colectica,colectiva,colectivamente,colectivas,colectivo,colectivos
medioambiente	medioambientales,medioambiente
fiscalización	fiscal,fiscales,fiscaliza,fiscalización,fiscalizador,fiscalizar
conceptos	concepto,conceptos
trabajadores	trabaja,trabajadores,trabajar,trabajo
sistema	sistema
promoción	promoción
manera	manera
gratuitas	gratuita,gratuitas,gratuito
etc	etc
cumplirla	cumplan,cumple,cumplen,cumplida,cumpliendo,cumplir,cumplirla,cumplirse
naturales	natural,naturales,naturalmente
mejores	mejor,mejora,mejorar,mejores
información	informaciones,información,informadas,informarse
cambiarlo	cambiada,cambiar,cambiarlo,cambio,cambios
asamblea	asamblea
actividades	activa,activamente,actividad,actividades,activo
votación	votación,votan,votar,votaron,voto
vivienda	vivienda
sustentabilidad	sustenta,sustentabilidad,sustentable,sustentables,sustentada,sustentadas
expresiones	expresiones,expresión
equidad	equidad
creación	creación,creando,crear,crearla,cree,creemos,creen,creo
buenos	buen,buena,buenos
actualización	actual,actuales,actualidad,actualización,actualizarse,actualmente
reconocimiento	reconoce,reconocemos,reconocer,reconociendo,reconocimiento
incluidas	incluidas,incluido,incluidos,incluimos,incluir,incluirse,incluya,incluye,incluyen,incluyendo
administración	administraciones,administración,administran,administrativa,administrativas,administrativo,administrativos,administre
través	través
oportunidades	oportunidad,oportunidades,oportuno
niños	niñ,niña,niñas,niño,niños
judicial	judicial
cargos	cargas,cargo,cargos
autoridades	autoridad,autoridades
asia	asia,así
además	además
abusivo	abuse,abusivo,abuso,abusos
regimen	regimen,régimen
pues	pues
pactos	pacten,pacto,pactos
memoria	memoria
elegidas	elegida,elegidas,elegido,elegidos,elegir
distintos	distinta,distintas,distinto,distintos
beneficiados	beneficia,beneficiados,beneficie,beneficien,beneficio,beneficios
articulación	articulación,artículo,artículos
actuaría	actuando,actuar,actuaría,actúa,actúe
realizado	realiza,realizado,realizan,realizar
opiniones	opiniones,opinión
justo	justa,justamente,justo
dignidad	dignidad
contemplamos	contempla,contemplada,contemplados,contemplamos,contemplar,contemplarse,contemple
básicas	básicas,básico,básicos
territorios	territorial,territorio,territorios
referendos	referendo,referendos
presidencialismo	presidencial,presidencialismo,presidencialista
pensaban	pensaban,pensando,pensar
libres	libre,libres
ideario	idea,ideario,ideas
república	república
popular	popular
organización	organismo,organismos,organización,órgano,órganos
municipales	municipal,municipales,municipio,municipios
materializar	materia,material,materiales,materializa,materializar,materias
lograría	logran,logrando,lograr,lograría,logro,logros
inclusión	inclusión
